date_time_bucket, passenger_count
2012-06-05_17-30,22326
2012-06-05_18-00,25442
2012-06-05_18-30,26867
2012-06-05_19-00,27931
2012-06-05_19-30,28117
2012-06-05_20-00,26943
2012-06-05_20-30,26263
2012-06-05_21-00,27691
2012-06-05_21-30,27660
2012-06-05_22-00,26012
2012-06-05_22-30,24613
2012-06-05_23-00,22161
2012-06-05_23-30,20810
2012-06-06_00-00,15686
2012-06-06_00-30,11794
2012-06-06_01-00,9139
2012-06-06_01-30,6966
2012-06-06_02-00,5285
2012-06-06_02-30,4220
2012-06-06_03-00,3558
2012-06-06_03-30,3100
2012-06-06_04-00,2909
2012-06-06_04-30,2323
2012-06-06_05-00,2713
2012-06-06_05-30,4367
2012-06-06_06-00,7539
2012-06-06_06-30,12950
2012-06-06_07-00,17379
2012-06-06_07-30,22164
2012-06-06_08-00,24359
2012-06-06_08-30,23711
2012-06-06_09-00,22942
2012-06-06_09-30,22052
2012-06-06_10-00,20740
2012-06-06_10-30,20691
2012-06-06_11-00,20002
2012-06-06_11-30,21482
2012-06-06_12-00,21795
2012-06-06_12-30,21120
2012-06-06_13-00,20782
2012-06-06_13-30,20840
2012-06-06_14-00,21935
2012-06-06_14-30,22009
2012-06-06_15-00,21440
2012-06-06_15-30,18918
2012-06-06_16-00,16848
2012-06-06_16-30,14868
2012-06-06_17-00,17374
2012-06-06_17-30,20525
2012-06-06_18-00,23454
2012-06-06_18-30,26439
2012-06-06_19-00,28823
2012-06-06_19-30,31299
2012-06-06_20-00,29299
2012-06-06_20-30,26055
2012-06-06_21-00,27451
2012-06-06_21-30,27797
2012-06-06_22-00,27540
2012-06-06_22-30,26280
2012-06-06_23-00,24330
2012-06-06_23-30,22052
2012-06-07_00-00,18294
2012-06-07_00-30,13469
2012-06-07_01-00,10588
2012-06-07_01-30,8219
2012-06-07_02-00,7098
2012-06-07_02-30,5262
2012-06-07_03-00,4156
2012-06-07_03-30,3741
2012-06-07_04-00,3544
2012-06-07_04-30,2715
2012-06-07_05-00,2895
2012-06-07_05-30,4487
2012-06-07_06-00,7375
2012-06-07_06-30,12812
2012-06-07_07-00,16978
2012-06-07_07-30,21946
2012-06-07_08-00,23651
2012-06-07_08-30,22939
2012-06-07_09-00,22164
2012-06-07_09-30,22321
2012-06-07_10-00,20279
2012-06-07_10-30,21224
2012-06-07_11-00,20023
2012-06-07_11-30,21620
2012-06-07_12-00,22057
2012-06-07_12-30,21698
2012-06-07_13-00,20930
2012-06-07_13-30,21846
2012-06-07_14-00,21765
2012-06-07_14-30,21970
2012-06-07_15-00,21422
2012-06-07_15-30,18831
2012-06-07_16-00,16820
2012-06-07_16-30,15122
2012-06-07_17-00,18005
2012-06-07_17-30,21660
2012-06-07_18-00,24764
2012-06-07_18-30,26880
2012-06-07_19-00,28774
2012-06-07_19-30,28906
2012-06-07_20-00,28449
2012-06-07_20-30,27489
2012-06-07_21-00,28593
2012-06-07_21-30,28941
2012-06-07_22-00,28631
2012-06-07_22-30,27973
2012-06-07_23-00,28136
2012-06-07_23-30,26439
2012-06-08_00-00,23741
2012-06-08_00-30,19815
2012-06-08_01-00,16406
2012-06-08_01-30,12684
2012-06-08_02-00,10968
2012-06-08_02-30,9038
2012-06-08_03-00,6880
2012-06-08_03-30,5726
2012-06-08_04-00,5155
2012-06-08_04-30,3813
