ar.L1.y,ar.L2.y,ma.L1.y,ma.L2.y,is_anomaly,window_label
0.0075110687482019545,0.9923238795045528,1.5574031453006898,0.5630031607627362,0,45400-45799
0.00035845452964544666,0.9996414616759738,1.7483852168878355,0.7535863468313092,0,45600-45999
0.0418635942362412,0.958109221238988,1.821059489649054,0.8333083006088245,0,45800-46199
0.0048758297585607124,0.9950951012624355,1.8074612096723808,0.8076475567060628,0,46000-46399
0.7135124400723148,0.2862595523214149,1.311993219914412,0.5335575202899028,0,46200-46599
0.6344857313982348,0.3652957901171279,1.417327917086498,0.5997072925001,0,46400-46799
0.7336220484444356,0.266143794778646,1.3875574799665564,0.5941819486469077,0,46600-46999
0.6871824040955238,0.31258054676170544,1.389892186076612,0.61669355089563,0,46800-47199
0.005900357595979067,0.9940831773958095,1.7424811214014053,0.7520301812112251,0,47000-47399
0.748720759294534,0.25107748360149723,1.3262731464991886,0.5847103799788618,0,47200-47599
0.03133402533729601,0.9683926426602842,1.5469148318989059,0.5609623161396985,0,47400-47799
0.5889381077337925,0.4108224856844543,1.1048316213335987,0.426651788467951,0,47600-47999
0.001962987780990466,0.9980340459755895,1.7018476845837394,0.703894986675979,0,47800-48199
0.02211552539222006,0.9776417592744843,1.7490640808739562,0.7565515764885307,0,48000-48399
0.00880998876966077,0.9911448779521382,1.815665010283642,0.8185179290468957,0,48200-48599
0.003147377872633861,0.9968438190936422,1.7910777253445707,0.7943638378147411,0,48400-48799
0.015265504019075893,0.9846961957652869,1.7629169897121102,0.7661007091397382,0,48600-48999
0.7317391325656563,0.26808241757417184,0.9190205863572811,0.3871000737231206,0,48800-49199
0.74566597152365,0.25414060649416187,0.9403851265240977,0.4345944097902604,0,49000-49399
0.013340996182752085,0.9866092629156413,1.7992672128510814,0.8019747262852651,0,49200-49599
1.3132110494584737e-06,0.9999986535750646,1.9864045787690363,0.9864653068399796,0,49400-49799
0.014767456649230182,0.9850348497372488,1.782441292738338,0.7853864092545424,0,49600-49999
0.008312162517602473,0.9916616535480931,1.768967822094912,0.7833051660712,0,49800-50199
0.014912647557048797,0.9849971642393212,1.7956940919386608,0.7960341522310999,0,50000-50399
0.0035621693554205303,0.9964321855317366,1.8206343582284208,0.8206347758425141,0,50200-50599
0.0026891505595115772,0.997308750051716,1.7995683548347339,0.8213847695356954,0,50400-50799
0.0062458770480463555,0.9937115160840646,1.7985270692392208,0.8140046502551593,0,50600-50999
0.0038856378075556863,0.9961142216268682,1.7144414733518651,0.7219924839432844,0,50800-51199
0.0035969970860768585,0.9963981181548146,1.8177342383244917,0.8554535401119784,0,51000-51399
0.0034501869675095387,0.9965451625901887,1.8090860539544562,0.847976455196217,0,51200-51599
0.8098154933178398,0.19009878231241337,1.3146335829858102,0.6498869329299327,0,51400-51799
0.12918063891979603,0.84780142596454,1.5683469461901525,0.8478014259645401,0,51600-51999
-1.1335710148330236e-11,0.9999999999859466,1.4311655580960398,0.7129068487362669,0,51800-52199
0.02913386613391966,0.9706559879443423,1.5592849022873674,0.5677229453538462,0,52000-52399
0.0388398783130397,0.960821326496748,1.5537333742010624,0.5716012128292803,0,52200-52599
0.648313616353996,0.351469804752995,1.377219784276828,0.6323938500449764,0,52400-52799
0.013574520416743896,0.986329975724423,1.7928350451529318,0.8005665714828849,0,52600-52999
0.035902302915474804,0.9638897382087085,1.7902504842868234,0.7993206182993012,0,52800-53199
0.014257458669293288,0.98565452591983,1.8021522441391076,0.8050557772005353,0,53000-53399
0.004347273707152599,0.9956337547945924,1.8016959982871896,0.812413213298793,0,53200-53599
0.9320967807447588,0.06773939280528775,1.1474284256849836,0.5360591347748669,0,53400-53799
0.7345680234700217,0.2652389517494408,1.2682460377373113,0.5523457693680178,0,53600-53999
0.012213527795104206,0.9877310790162745,1.7859455163744364,0.7952700065492597,0,53800-54199
0.023416014581832734,0.9765364000894898,1.8076608809156411,0.8239429149810994,0,54000-54399
0.004971866256113677,0.9950274788574207,1.8221355877196368,0.829427778994866,0,54200-54599
0.0017461976697772386,0.998251822269879,1.8207241663645999,0.8271520023882812,0,54400-54799
0.0034579168260560067,0.9965322203919382,1.766771541008476,0.784923699989937,0,54600-54999
0.01245262859469387,0.9874119235738151,1.5726402332469465,0.5730990117685046,0,54800-55199
0.020894020720501394,0.9789357301950592,1.577154577407974,0.5804900488857685,0,55000-55399
0.005187303838786628,0.9947998656910132,1.8025272965645847,0.8037411801533936,0,55200-55599
0.025935448991035726,0.9738961283154591,1.7618142243117538,0.7624461879605229,0,55400-55799
